year_month,avg_demand_mwh,min_demand_mwh,n_hours,zone
2024-09,6647.31375411884,5928.397303,690,FWEST
2024-10,6699.421582012623,6228.566784,713,FWEST
2024-11,6757.138284762318,5929.195317,690,FWEST
2024-12,7105.667368635343,6598.350536,713,FWEST
2025-01,7281.584201241235,6612.158339,713,FWEST
2025-02,7043.494308060559,6042.457978,644,FWEST
2025-03,7015.203515171348,6085.131069,712,FWEST
2025-04,7209.339723494203,6134.219518,690,FWEST
2025-05,7405.423259521739,6478.741658,713,FWEST
2025-06,7544.184931546377,6599.490273,690,FWEST
2025-07,7736.322840924264,6587.346083,713,FWEST
2025-08,7919.336472859747,6907.263271,713,FWEST
2025-09,7819.850087965217,6914.459515,690,FWEST
2025-10,7599.769107683029,6648.081955,713,FWEST
2025-11,7614.268062328986,6815.410341,690,FWEST
2025-12,7576.319868605891,6660.210804,713,FWEST
2019-01,13563.042671035064,8411.340406,713,NCENT
2019-02,12940.228884343167,8285.933098,644,NCENT
2019-03,11793.323961358146,7960.613825,712,NCENT
2019-04,11078.703942757971,7854.217171,690,NCENT
2019-05,12812.038879021038,7851.374507,713,NCENT
2019-06,14954.841105204348,8958.516274,690,NCENT
2019-07,16860.050971314166,10237.118788,713,NCENT
2019-08,18239.50327745442,10678.845419,713,NCENT
2019-09,16940.83406359855,10587.938362,690,NCENT
2019-10,12551.858582539973,8159.174924,713,NCENT
2019-11,12017.962728075361,8253.480352,690,NCENT
2019-12,12501.518866910237,8471.14832,713,NCENT
2020-01,12512.724985186536,8563.556652,713,NCENT
2020-02,13037.797990406298,8536.231908,667,NCENT
2020-03,10921.959237464887,7560.149479,712,NCENT
2020-04,10700.966496230436,7404.964154,690,NCENT
2020-05,12225.495816685834,7490.004029,713,NCENT
2020-06,15691.120127715942,9330.767921,690,NCENT
2020-07,17466.095426654978,11071.305443,713,NCENT
2020-08,17674.9500559453,10627.264878,713,NCENT
2020-09,13557.421658744928,8233.655333,690,NCENT
2020-10,12114.596988117812,8091.996731,713,NCENT
2020-11,10948.11329663768,8090.515287,690,NCENT
2020-12,12758.238604781207,8548.635452,713,NCENT
2021-01,12991.51050008976,8555.822692,713,NCENT
2021-02,14581.914292374224,7763.771846,644,NCENT
2021-03,11224.914162856741,8283.74851,712,NCENT
2021-04,10887.395946963768,7936.784101,690,NCENT
2021-05,11787.968897781206,8141.100311,713,NCENT
2021-06,15604.076575008696,8626.538217,690,NCENT
2021-07,16673.06595487377,10771.840935,713,NCENT
2021-08,17268.36867884572,11175.523011,713,NCENT
2021-09,15423.887201955073,8860.586676,690,NCENT
2021-10,12475.74428981627,7974.478618,713,NCENT
2021-11,11126.858430373914,8182.084028,690,NCENT
2021-12,11569.687536072932,8008.002281,713,NCENT
2022-01,13956.34674399439,8573.370608,713,NCENT
2022-02,14460.555373273293,8832.342569,644,NCENT
2022-03,12000.664095356742,8474.32945,712,NCENT
2022-04,11834.162398527536,8189.853,690,NCENT
2022-05,14705.888536848528,8547.476599,713,NCENT
2022-06,17835.8454007,9746.101446,690,NCENT
2022-07,20021.95577302244,12724.701742,713,NCENT
2022-08,18176.604110063112,11429.245969,713,NCENT
2022-09,15472.632321894203,9420.417978,690,NCENT
2022-10,12080.490149903224,8411.459068,713,NCENT
2022-11,12573.784443911594,8651.179055,690,NCENT
2022-12,13612.631855848313,8972.760691,712,NCENT
2023-01,13158.927459610099,8861.675957,713,NCENT
2023-02,13457.000089349378,8987.717544,644,NCENT
2023-03,11700.646128480337,8679.402875,712,NCENT
2023-04,11446.951863127537,8232.244793,690,NCENT
2023-05,13548.800609680224,8496.64059,713,NCENT
2023-06,17227.700156062318,9788.753237,690,NCENT
2023-07,19266.81453168864,11413.974735,713,NCENT
2023-08,20980.89693436746,12278.463593,713,NCENT
2023-09,17114.074952797102,10379.756792,690,NCENT
2023-10,12809.661991670406,8441.873559,713,NCENT
2023-11,11955.797856128986,8614.278436,690,NCENT
2023-12,12611.146794082748,8919.907032,713,NCENT
2024-01,15782.995480352032,9871.623698,713,NCENT
2024-02,12363.591460143927,9075.628234,667,NCENT
2024-03,11400.16272504354,8700.707546,712,NCENT
2024-04,12183.394731065218,8794.024173,690,NCENT
2024-05,14421.772448558204,9158.993195,713,NCENT
2024-06,17524.72208752464,10166.900913,690,NCENT
2024-07,18024.604704164096,10974.919831,713,NCENT
2024-08,20089.15851321599,13265.426593,713,NCENT
2024-09,15826.211749085509,9833.764909,690,NCENT
2024-10,14330.193960781206,9223.312097,713,NCENT
2024-11,12139.109318597102,8923.11814,690,NCENT
2024-12,12981.130487023844,9458.635529,713,NCENT
2025-01,16043.959954872369,9514.378203,713,NCENT
2025-02,14867.02302967236,9451.328911,644,NCENT
2025-03,12169.941154335675,9130.157852,712,NCENT
2025-04,13190.36779933913,9218.512411,690,NCENT
2025-05,14259.677678422162,9075.368565,713,NCENT
2025-06,17702.568803989856,10824.881979,690,NCENT
2025-07,18561.98530646003,11982.023474,713,NCENT
2025-08,19023.1825128345,11938.290771,713,NCENT
2025-09,16632.619223984057,10644.906493,690,NCENT
2025-10,14499.5965452216,9620.463766,713,NCENT
2025-11,12972.169776842027,9496.594934,690,NCENT
2025-12,14111.382751849931,9730.324388,713,NCENT
2019-01,885.6891857713886,613.604443,713,NORTH
2019-02,844.9867422096274,595.809177,644,NORTH
2019-03,766.719466275281,548.403174,712,NORTH
2019-04,699.6568334565217,550.886285,690,NORTH
2019-05,772.3461806283309,547.37796,713,NORTH
2019-06,889.2392375028986,596.353575,690,NORTH
2019-07,1000.780206056101,694.126487,713,NORTH
2019-08,1075.3757607587656,689.7726720000001,713,NORTH
2019-09,984.7302754,706.837524,690,NORTH
2019-10,767.0044472173913,563.416328,713,NORTH
2019-11,782.9889172275361,575.019437,690,NORTH
2019-12,805.2052023155682,591.191316,713,NORTH
2020-01,809.5384574530154,614.660317,713,NORTH
2020-02,824.9115371154422,597.193749,667,NORTH
2020-03,698.3724320603932,533.496815,712,NORTH
2020-04,659.5043772202898,498.409994,690,NORTH
2020-05,712.8927537910239,498.172665,713,NORTH
2020-06,897.7235558130434,566.867522,690,NORTH
2020-07,1010.2855207251052,704.114427,713,NORTH
2020-08,997.8133857601683,656.972134,713,NORTH
2020-09,797.0158565188406,549.429855,690,NORTH
2020-10,730.393983510519,538.464805,713,NORTH
2020-11,687.2337401362319,530.364196,690,NORTH
2020-12,803.1937594095372,585.006271,713,NORTH
2021-01,816.2059748288921,621.92272,713,NORTH
2021-02,889.3369152375776,488.272293,644,NORTH
2021-03,689.7233276952247,547.535306,712,NORTH
2021-04,667.2320483681159,521.846343,690,NORTH
2021-05,687.0774579354838,500.095939,713,NORTH
2021-06,905.784897473913,552.842182,690,NORTH
2021-07,965.7069948064516,630.056039,713,NORTH
2021-08,1000.2465509284713,699.908827,713,NORTH
2021-09,904.6916026492753,581.613672,690,NORTH
2021-10,724.083549053296,516.433461,713,NORTH
2021-11,718.579766168116,532.867485,690,NORTH
2021-12,919.9020412805048,677.661555,713,NORTH
2022-01,1115.7021112370267,717.420214,713,NORTH
2022-02,1125.5698443866459,748.765854,644,NORTH
2022-03,963.2434534592697,722.796957,712,NORTH
2022-04,917.6001919942029,681.366442,690,NORTH
2022-05,1103.6628131276298,719.200527,713,NORTH
2022-06,1281.9454243463767,777.794919,690,NORTH
2022-07,1456.155073767181,967.292997,713,NORTH
2022-08,1330.233596112202,867.905367,713,NORTH
2022-09,1172.768205915942,763.220799,690,NORTH
2022-10,914.6038595091164,696.402805,713,NORTH
2022-11,993.3750992927537,711.550314,690,NORTH
2022-12,1132.2731904901684,788.60632,712,NORTH
2023-01,1095.668751088359,791.746917,713,NORTH
